STUSAB,COUNTY,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
ID,45.0,1449796224,12491930,Gem,Gem County,A,19123,7563,44.0614727,-116.3987839,06,19123,17691,16623,30,155,99,27,757,1432,1365,45,488,128,23,637,4,0,0,5,0,1,23,1,2,8,62,11,1,0,0,1,0,29,18,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,19123,1722,17401,16500,16132,29,124,99,20,96,901,869,45,455,124,17,221,0,0,0,3,0,0,4,0,0,0,31,11,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14596,13645,12890,26,126,82,16,505,951,919,20,363,79,9,424,0,0,0,2,0,0,15,1,2,4,30,5,1,0,0,1,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14596,1043,13553,12900,12616,26,97,82,16,63,653,639,20,357,78,3,180,0,0,0,0,0,0,1,0,0,0,13,5,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7563,7199,364,264,264,37,51,176,0,0,0,0,0
ID,47.0,1888935208,12470063,Gooding,Gooding County,A,15598,6030,42.9731849,-114.8214203,06,15598,13768,11227,29,165,44,7,2296,1830,1770,26,243,57,17,1372,3,0,4,2,1,1,32,9,0,3,54,11,0,0,4,4,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15598,4847,10751,10230,10044,20,70,40,4,52,521,488,23,234,55,17,144,0,0,4,0,1,1,0,6,0,3,27,10,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11275,10165,8475,23,115,33,7,1512,1110,1077,17,165,35,6,815,0,0,3,2,1,1,25,4,0,3,33,4,0,0,0,4,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11275,2995,8280,7939,7799,19,59,29,4,29,341,323,14,165,35,6,94,0,0,3,0,1,1,0,1,0,3,18,3,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6030,5647,383,121,91,18,0,68,5,30,0,0,30
ID,49.0,21956620029,67533572,Idaho,Idaho County,A,16541,8872,45.849644,-115.4673371,06,16541,15637,14819,58,441,61,5,253,904,848,16,392,60,20,323,4,0,0,0,9,3,8,9,4,0,38,10,1,0,1,13,1,2,8,0,1,0,1,0,0,0,0,0,0,0,0,16,2,0,5,3,0,0,3,0,1,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,16541,611,15930,15278,14656,54,414,55,5,94,652,615,12,357,59,16,151,0,0,0,0,3,3,1,9,4,0,28,9,1,0,0,8,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,3,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,13270,12659,12041,36,326,48,2,206,611,577,11,276,32,10,228,1,0,0,0,1,3,6,9,0,0,27,9,1,0,1,5,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,13270,384,12886,12412,11940,36,306,48,2,80,474,445,7,262,31,10,122,0,0,0,0,0,3,1,9,0,0,24,9,1,0,0,5,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,8872,7006,1866,489,447,410,0,37,0,42,0,0,42
ID,51.0,2832619466,31166194,Jefferson,Jefferson County,A,30891,10134,43.7969649,-112.3185879,06,30891,29272,27092,86,204,124,34,1732,1619,1530,67,335,160,56,860,7,0,0,3,4,0,30,3,4,1,77,10,1,1,3,7,1,33,12,5,0,0,0,2,0,0,0,1,0,0,1,11,0,1,0,0,0,0,0,3,2,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,30891,3256,27635,26884,26430,73,127,118,30,106,751,733,58,305,150,56,150,7,0,0,0,4,0,0,3,0,0,18,2,0,1,0,7,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20372,19475,18056,43,128,98,26,1124,897,858,37,197,72,19,508,0,0,0,3,0,0,19,2,1,0,33,7,1,0,0,0,1,16,2,5,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20372,1959,18413,17999,17692,35,87,92,24,69,414,409,32,188,65,19,103,0,0,0,0,0,0,0,2,0,0,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10134,9581,553,182,177,104,0,60,13,5,0,0,5
ID,53.0,1547629731,12908802,Jerome,Jerome County,A,24237,8569,42.6913953,-114.2620858,06,24237,20942,16412,48,440,97,22,3923,3295,3218,54,318,69,16,2703,2,0,4,8,3,0,30,5,4,2,74,2,3,3,1,6,5,47,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24237,9176,15061,14474,14153,39,110,80,22,70,587,569,49,274,60,16,154,2,0,4,4,2,0,0,2,0,2,18,2,2,3,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16874,14802,11916,27,275,79,17,2488,2072,2024,12,225,38,10,1703,2,0,0,4,1,0,24,3,0,2,47,0,2,3,1,6,5,28,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16874,5513,11361,10981,10752,22,74,70,17,46,380,364,12,200,35,10,97,2,0,0,4,0,0,0,2,0,2,16,0,2,3,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8569,8098,471,209,171,99,0,63,9,38,0,0,38
ID,55.0,3205833858,184447536,Kootenai,Kootenai County,A,171362,74736,47.6759569,-116.6959192,06,171362,158839,152438,522,1925,1420,216,2318,12523,11822,678,4164,1516,263,4995,24,19,0,22,18,20,34,50,16,3,648,80,36,5,32,91,37,161,133,56,15,0,0,1,0,1,0,0,0,0,0,43,8,5,3,0,4,0,12,0,0,7,1,0,0,3,0,2,0,0,0,0,1,1,8,8,171362,8756,162606,153778,149107,463,1715,1371,195,927,8828,8421,625,3806,1428,248,2190,20,17,0,10,9,20,1,42,5,0,379,78,32,4,9,76,37,6,122,15,0,0,0,0,0,0,0,0,0,0,0,26,5,1,3,0,4,0,12,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,132205,124237,119382,360,1368,1173,163,1791,7968,7603,285,2884,772,155,3359,13,10,0,14,14,13,29,38,15,2,327,45,10,4,17,45,18,100,72,15,1,0,0,0,0,0,0,0,0,0,0,29,7,3,3,0,4,0,4,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0,8,8,132205,5579,126626,120925,117405,328,1211,1135,142,704,5701,5492,276,2707,742,150,1529,9,10,0,8,9,13,1,33,5,0,191,43,10,3,6,38,18,5,67,1,0,0,0,0,0,0,0,0,0,0,0,17,4,1,3,0,4,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,74736,67278,7458,1779,1119,287,27,805,0,660,33,0,627
ID,57.0,2786483032,2369979,Latah,Latah County,A,39517,17259,46.8189202,-116.7309737,06,39517,36637,34294,332,315,981,60,655,2880,2700,212,842,486,58,1057,5,5,0,6,10,0,10,2,7,0,160,31,13,10,2,14,0,42,27,12,2,4,0,0,3,0,0,0,0,0,0,20,10,0,3,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39517,2073,37444,35300,33476,318,263,968,48,227,2144,2053,204,774,467,58,520,5,5,0,6,6,0,1,1,6,0,79,24,13,10,2,3,0,0,17,5,2,0,0,0,3,0,0,0,0,0,0,12,6,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31752,29789,27893,250,235,845,53,513,1963,1863,114,614,301,35,759,5,4,0,6,10,0,10,2,3,0,83,15,1,0,0,8,0,21,22,11,2,0,0,0,3,0,0,0,0,0,0,17,10,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31752,1578,30174,28717,27244,241,197,834,44,157,1457,1404,114,574,293,35,362,5,4,0,6,6,0,1,1,3,0,41,12,1,0,0,1,0,0,17,5,2,0,0,0,3,0,0,0,0,0,0,12,6,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17259,16063,1196,2656,139,11,0,128,0,2517,2433,0,84
ID,59.0,11819914566,14105634,Lemhi,Lemhi County,A,7974,4568,44.9285059,-113.8870422,06,7974,7598,7386,19,56,37,6,94,376,365,11,170,12,2,154,4,0,1,2,3,5,1,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7974,295,7679,7415,7280,17,46,28,6,38,264,263,11,158,12,2,72,0,0,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6470,6205,6022,13,52,34,6,78,265,261,1,129,7,2,107,4,0,1,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6470,198,6272,6081,5962,11,44,28,6,30,191,191,1,117,7,2,56,0,0,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4568,3651,917,76,30,2,0,28,0,46,12,0,34
ID,61.0,1240141960,2340247,Lewis,Lewis County,A,3533,1810,46.2363277,-116.42376,06,3533,3328,3085,6,184,10,1,42,205,188,9,105,7,0,54,0,1,0,0,1,2,0,5,4,0,13,1,0,0,0,2,0,3,0,0,5,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3533,138,3395,3238,3031,6,181,7,1,12,157,150,9,88,5,0,35,0,1,0,0,1,2,0,5,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2797,2655,2481,6,141,7,1,19,142,131,0,74,7,0,40,0,0,0,0,1,1,0,5,3,0,7,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2797,84,2713,2610,2452,6,138,7,1,6,103,99,0,61,5,0,23,0,0,0,0,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1810,1528,282,107,4,4,0,0,0,103,0,0,103
ID,63.0,3111517506,11588561,Lincoln,Lincoln County,A,5127,1948,42.9907824,-114.1530888,06,5127,4498,3594,6,77,10,4,807,629,597,10,89,16,4,452,0,2,1,5,1,2,5,6,2,2,24,2,0,0,0,5,2,6,5,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,1,5127,1639,3488,3292,3245,6,22,10,4,5,196,176,10,83,16,2,54,0,2,0,0,1,0,1,6,0,1,15,2,0,0,0,5,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3692,3283,2653,3,57,8,2,560,409,391,1,61,10,2,297,0,2,0,2,1,2,5,5,1,2,14,0,0,0,0,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,3692,1072,2620,2490,2452,3,20,8,2,5,130,115,1,56,10,2,36,0,2,0,0,1,0,1,5,0,1,12,0,0,0,0,5,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1948,1785,163,42,42,0,0,42,0,0,0,0,0
ID,65.0,1215396326,10500895,Madison,Madison County,A,52913,14124,43.788614,-111.6569925,06,52913,49976,45273,736,244,959,231,2533,2937,2700,169,439,385,117,1519,7,6,5,15,0,0,16,12,9,1,195,10,8,0,0,21,9,62,63,22,0,0,0,0,0,0,0,0,0,0,0,37,3,7,9,9,1,0,4,0,0,2,0,0,0,0,2,5,5,0,0,0,0,0,0,0,52913,5248,47665,46160,43985,709,153,933,215,165,1505,1391,151,378,367,106,347,5,6,5,10,0,0,0,12,4,0,96,7,8,0,0,10,3,0,62,6,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,42141,40250,36104,665,200,890,204,2187,1891,1750,95,282,236,82,999,5,2,5,10,0,0,14,12,8,0,112,10,6,0,0,5,3,46,40,2,0,0,0,0,0,0,0,0,0,0,0,24,3,1,5,9,0,0,4,0,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,42141,4078,38063,37090,35120,648,133,878,188,123,973,896,86,244,230,80,224,4,2,5,5,0,0,0,12,4,0,63,7,6,0,0,5,3,0,40,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,14124,12700,1424,14755,447,76,0,179,192,14308,14286,0,22
ID,67.0,1960610406,13928528,Minidoka,Minidoka County,A,21613,8218,42.8572114,-113.6398404,06,21613,19113,14591,39,282,63,20,4118,2500,2431,31,286,106,23,1952,6,0,0,6,0,0,13,0,6,2,57,3,7,0,15,1,0,23,2,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,21613,7909,13704,13183,12946,27,92,51,10,57,521,505,25,243,101,23,104,5,0,0,0,0,0,0,0,2,2,13,3,5,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,15383,13795,10664,27,215,54,13,2822,1588,1552,14,215,53,8,1241,0,0,0,6,0,0,9,0,4,2,29,2,6,0,7,1,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,15383,5136,10247,9909,9730,19,77,46,7,30,338,326,10,179,53,8,74,0,0,0,0,0,0,0,0,0,2,9,2,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8218,7654,564,87,44,0,6,38,0,43,0,0,43
ID,69.0,2197139835,21252880,Nez Perce,Nez Perce County,A,42090,18364,46.3337914,-116.7609091,06,42090,39520,36104,193,2445,334,33,411,2570,2435,135,1044,256,63,828,36,1,0,16,10,1,13,20,12,0,114,38,6,0,7,5,2,31,14,1,2,0,0,3,0,1,0,2,0,2,0,17,3,3,3,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,42090,1630,40460,38438,35436,184,2336,324,32,126,2022,1944,116,963,254,60,468,35,1,0,15,10,1,1,18,2,0,63,35,6,0,0,4,2,3,8,0,0,0,0,1,0,0,0,2,0,2,0,12,3,0,2,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,33042,31421,28922,124,1729,294,30,322,1621,1561,65,672,115,30,605,25,1,0,11,3,0,8,15,11,0,51,19,0,0,5,4,2,14,0,0,0,0,0,3,0,0,0,2,0,2,0,7,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,33042,1094,31948,30667,28490,122,1649,285,29,92,1281,1243,62,633,114,29,353,24,1,0,10,3,0,0,13,1,0,30,16,0,0,0,4,2,3,0,0,0,0,0,1,0,0,0,2,0,2,0,7,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18364,17231,1133,1126,693,87,102,504,0,433,357,0,76
ID,71.0,3105269247,3995240,Oneida,Oneida County,A,4564,2009,42.1838954,-112.5204486,06,4564,4401,4313,3,17,16,4,48,163,144,9,31,11,4,74,0,3,0,0,0,0,6,0,6,0,13,2,1,0,0,0,1,4,0,1,0,2,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,4564,178,4386,4301,4259,2,14,14,4,8,85,78,7,27,9,4,24,0,3,0,0,0,0,2,0,2,0,5,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3273,3157,3109,1,9,10,0,28,116,102,9,23,5,3,51,0,3,0,0,0,0,6,0,2,0,9,1,1,0,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,3273,110,3163,3094,3076,0,7,8,0,3,69,62,7,23,5,3,17,0,3,0,0,0,0,2,0,2,0,5,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1694,315,45,45,0,0,45,0,0,0,0,0
ID,73.0,19860558063,74129063,Owyhee,Owyhee County,A,11913,4719,42.5728508,-116.1896903,06,11913,10641,8686,30,421,45,10,1449,1272,1195,19,216,26,4,890,5,0,0,6,0,3,12,4,6,4,71,9,9,0,0,3,0,27,9,7,5,1,0,0,0,0,1,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11913,2915,8998,8580,8060,28,374,42,8,68,418,381,14,203,26,4,116,5,0,0,6,0,3,0,4,0,0,33,9,9,0,0,3,0,8,2,0,0,1,0,0,0,0,1,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8722,7903,6567,15,292,35,8,986,819,788,12,156,25,4,572,3,0,0,0,0,3,7,4,2,0,28,3,0,0,0,1,0,18,2,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8722,1865,6857,6566,6197,14,264,35,6,50,291,274,7,146,25,4,82,3,0,0,0,0,3,0,4,0,0,15,3,0,0,0,1,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4719,4232,487,172,157,28,50,79,0,15,0,0,15
ID,75.0,1053849237,8872160,Payette,Payette County,A,25386,9684,44.00243,-116.7502379,06,25386,22758,20431,66,330,226,35,1670,2628,2547,60,682,223,11,1514,0,4,1,2,2,0,35,11,1,1,72,15,0,2,15,0,2,23,8,6,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,0,0,2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,25386,4268,21118,19826,19240,52,163,207,31,133,1292,1258,56,573,195,11,402,0,1,1,2,2,0,4,11,0,0,29,11,0,2,7,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18652,16998,15385,45,230,187,17,1134,1654,1607,18,466,107,5,974,0,3,1,1,2,0,27,1,1,1,41,6,0,2,6,0,2,16,6,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,18652,2615,16037,15168,14731,41,124,173,17,82,869,846,18,421,97,5,296,0,0,1,1,2,0,4,1,0,0,21,6,0,2,4,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9684,9223,461,182,114,37,0,77,0,68,0,0,68
ID,77.0,3635892401,99205466,Power,Power County,A,7878,2937,42.694126,-112.844407,06,7878,7169,5183,20,222,18,11,1715,709,663,16,77,17,17,510,12,1,0,4,0,0,3,1,1,4,41,4,0,0,1,5,0,28,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,7878,2624,5254,5063,4826,17,172,18,8,22,191,175,10,71,15,17,51,9,0,0,0,0,0,0,1,1,0,11,4,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,5500,5066,3817,10,154,18,8,1059,434,405,11,53,7,4,315,6,0,0,4,0,0,1,1,0,3,25,1,0,0,0,0,0,21,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,5500,1546,3954,3836,3661,10,128,18,8,11,118,111,10,48,7,4,38,3,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2937,2689,248,68,59,11,0,48,0,9,0,0,9
ID,79.0,6830898576,13962457,Shoshone,Shoshone County,A,13169,6990,47.3476935,-115.8850916,06,13169,12376,11982,21,164,57,6,146,793,770,25,400,40,14,281,3,0,0,5,0,0,1,0,0,1,21,4,0,0,0,4,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13169,450,12719,12073,11771,15,145,53,6,83,646,633,25,388,40,12,164,3,0,0,0,0,0,1,0,0,0,12,0,0,0,0,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10589,10046,9733,16,130,45,5,117,543,526,6,285,21,1,204,3,0,0,5,0,0,1,0,0,0,16,4,0,0,0,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10589,275,10314,9857,9612,10,117,43,5,70,457,444,6,279,21,1,133,3,0,0,0,0,0,1,0,0,0,12,0,0,0,0,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6990,5836,1154,191,141,21,0,120,0,50,0,0,50
